,term,rank
1321,people,28.96400469492168
1032,laugh,16.699107312400272
1074,live,13.33039491993911
1836,time,13.300693645419331
688,family,13.21498222175725
809,good,11.782021617630791
896,home,10.97838371261614
1661,social,9.815702574104726
1801,technology,9.615013585955591
932,important,9.510136130533898
2014,year,9.035548810265166
1608,shopping,8.552092023285837
1060,life,8.322820231232047
1251,older,8.098135476872272
1696,stair,8.056567726457233
1116,make,8.02031137847475
196,big,7.99345919776659
1218,nice,7.974823446829643
149,back,7.9683612425967905
762,friend,7.809127974479753
1670,sort,7.639597907667733
1008,kind,7.414288833127662
910,house,7.180817207722032
338,child,7.124231419133293
710,find,7.115952726972223
204,bit,6.971145133521868
1337,phone,6.898899771253384
1161,mind,6.861401489563937
797,give,6.726608893474028
1932,walk,6.712760252646456
1826,thing,6.4288926579851395
1992,work,6.234970865424238
1210,negative,6.211265161244566
1935,walking,6.196044306502924
289,care,6.153223937407499
485,day,6.059553426654252
1342,physical,5.952000086797818
303,cat,5.867913429095726
286,car,5.834262175712465
1741,stuff,5.823952641376486
269,bus,5.720210501779459
1408,problem,5.706375298753178
1631,sit,5.546038747312561
699,feel,5.496978177984313
1355,place,5.477859927301645
584,drive,5.421419921541339
539,difficult,5.329247292021358
1330,person,5.228232568612875
388,coming,5.207038993646511
1098,love,5.196759830475481
1593,service,5.141720470418384
152,bad,5.0488911699852155
1828,thinking,5.04400791026887
1191,move,5.037843397375108
855,hard,5.0268953077289185
657,exercise,5.003579830911102
1182,morning,4.999571956300011
1709,stay,4.977793079994507
173,bath,4.973311039953618
1786,talk,4.966496159657721
1954,week,4.885626730702904
1858,transport,4.733719094288051
724,flat,4.673062197016037
278,call,4.630910492305999
483,daughter,4.554008771192961
1831,thought,4.550838650815747
1179,money,4.486536432263014
1104,lucky,4.353891018878416
1763,suppose,4.329687027168142
1789,talking,4.316761823673395
56,activity,4.27624963169173
2000,worry,4.276160256643544
398,company,4.201961593442073
397,community,4.1681256623554175
677,face,4.165891927665145
1889,understand,4.154208503047339
569,door,4.141371727729386
678,facebook,4.078501726121245
76,age,4.031243182864057
831,group,3.973400420696172
734,food,3.9694094113479648
992,job,3.955236123414549
1311,pay,3.9081900011543897
1062,lift,3.873885288073371
1366,plymouth,3.795765041252125
1142,meet,3.7946586901722785
1532,room,3.7897110749310574
644,environment,3.735095835007
1087,long,3.688018933907364
878,helpful,3.600724837062711
40,absolutely,3.584114830624774
46,access,3.579757752933364
1076,living,3.5513239849193075
1192,moved,3.475211734923456
1842,today,3.4691244932638274
1723,stop,3.4561239369601684
1119,man,3.449537735899301
164,barbican,3.4464811994106466
421,contact,3.4446806664424647
867,health,3.4068027774990655
1663,socialising,3.395176834754064
1176,mom,3.3895002712463542
1063,light,3.3797787119241076
322,change,3.347065717561454
430,cooking,3.3196824155933164
1162,mine,3.3083513059309233
1522,ring,3.294167774493707
1607,shop,3.2814904703937797
1880,tv,3.2684498807941202
833,guess,3.243916030773955
406,computer,3.2298091678545418
373,coffee,3.2051681014794977
1845,told,3.1818411048940156
776,future,3.170623574226996
870,hearing,3.136518186196799
1092,lose,3.122941608448027
1849,top,3.122321063171512
1384,positive,3.083098638038587
563,dog,3.017867681184839
752,found,3.010659574638521
901,hope,3.005888711473671
1782,taichi,3.0023935194375517
59,adaptation,2.9799298838438153
319,chair,2.9727299355241907
1082,lockdown,2.9655325491396485
864,hazel,2.9560048432500765
1851,totally,2.95460772141245
349,church,2.945121821540197
766,front,2.9410888866858076
1348,picture,2.9392625806812847
632,end,2.933730075284501
825,great,2.9318486228101985
1344,physically,2.9263851231377096
2019,zoom,2.9240799471645995
1019,knowledge,2.882360170271526
562,doctor,2.860374718860379
1995,working,2.8564658138198804
778,gadget,2.8496902477438497
842,half,2.8246055745705387
1211,neighbour,2.824591271012755
968,internet,2.823566956057091
249,bring,2.8078011137474337
1794,taxi,2.805584294864368
1587,sense,2.754545399663777
765,frightening,2.743955634709253
2017,younger,2.743651942138065
1962,wheelchair,2.7252632512579424
602,easier,2.6966708735891487
1300,partner,2.6958713296512453
1735,struggle,2.6920380594448274
1006,kid,2.6913378034964697
1580,seat,2.6825946690206646
1165,minute,2.664178887277904
1676,space,2.6604123447068413
961,interaction,2.6466487686519864
476,dancing,2.633186437618648
290,careful,2.631077382900054
1177,moment,2.621073384307883
1220,night,2.6189078933755123
1703,start,2.613643544787845
1804,television,2.5970333937222487
1253,online,2.563264653063602
1100,lovely,2.5557803513683934
1419,property,2.5053958122880045
1204,nature,2.499185020934605
1095,lost,2.498517980351223
984,issue,2.4949557158789606
443,couple,2.490950264306541
2016,young,2.4826828276206045
271,buy,2.4728243437681465
1235,number,2.46069026392513
208,bless,2.4521105449005027
1552,safe,2.4470089452159405
1396,press,2.438141978008595
179,bed,2.434166101423549
1040,learn,2.4340273761309508
1775,swimming,2.4174518912082084
587,driving,2.414381368254428
1114,maintenance,2.4099649480924192
1168,miss,2.397825392283172
1595,set,2.3901998597311738
1047,left,2.3797438707500445
1469,realise,2.3768547076117814
81,ago,2.3732796804070873
363,clock,2.3662773504347054
750,forward,2.363728020395555
879,helping,2.3612684213310167
413,confidence,2.357642098889806
115,area,2.3508032363597464
1094,loss,2.343668555510965
758,freedom,2.328127370226877
1574,scooter,2.31187052561885
1304,past,2.3055191621339546
1472,reason,2.2898728312419294
505,dementia,2.28349062307932
727,floor,2.26800507354742
1938,wanted,2.2560266397294813
1989,word,2.2390916608378073
1946,watching,2.2379714674132534
1997,world,2.2337139738926837
231,bother,2.231210831490287
949,information,2.218319423591867
637,enjoy,2.199706124890763
235,bought,2.197624840767119
685,fall,2.186836959837741
1752,suitable,2.1583027553893395
1945,watch,2.1578102237168784
1620,side,2.156603773304816
1143,meeting,2.142010537806179
1109,made,2.127819086668883
16,30,2.12602634161235
317,centre,2.117715499344495
1530,robot,2.114821790968075
424,control,2.109731263945438
364,close,2.1095036965548566
504,delivery,2.1050061106555424
890,hoe,2.1008893186316726
0,10,2.083396737942001
712,fine,2.064072184264842
1154,messenger,2.057747362439178
1485,regular,2.05572609979495
764,frightened,2.0492367774134537
1528,road,2.043139363576836
1803,telephone,2.0309368258294715
1150,mentioned,2.026335003986231
790,generation,2.023630762468922
1048,leg,2.0209041893604294
1529,rob,2.020235514761813
198,bike,2.016780823097343
1024,lady,2.0099475734129424
1089,looked,2.0081334693124457
869,heard,2.0066739293672295
2011,wrong,2.0021477342456966
1662,socialisation,2.0
1013,kitten,2.0
995,join,1.9962628287225943
1682,spend,1.9928687530453795
946,independent,1.9798073639793816
153,bag,1.9795194925342559
94,allowed,1.9725261352467056
1175,mobility,1.9713809512978386
374,cold,1.9679417301641737
304,cataract,1.9443501236569127
783,gardening,1.9365556940852542
1272,oven,1.9308364973806382
702,felt,1.9255096643668477
1153,message,1.9059581914288106
211,blind,1.9047024440395213
845,hand,1.8979577940600383
617,elderly,1.897847131126563
163,bar,1.8940780115894154
300,case,1.8940690211832223
323,changed,1.891606266104111
606,eat,1.88669936858135
465,cup,1.8782332097078984
1700,stand,1.8772502765552739
1869,trip,1.868520834873503
1296,park,1.8569573141949482
868,hear,1.8557442764778744
232,bothered,1.8282924170749184
1673,sound,1.8264751747215369
1101,low,1.8208671557859262
817,grand,1.8184643537819785
1044,leaseholder,1.8138428046967023
165,bargain,1.813703033668324
888,hob,1.8123627647097127
1334,pet,1.8114544141594124
773,funny,1.805512735584239
1594,session,1.8034191766791432
1546,run,1.8015844113050852
839,guy,1.8010434509264004
1370,point,1.7951780630143872
1785,taking,1.7786619459869404
909,hour,1.776426394211669
1907,upstairs,1.7755470707663192
167,barrier,1.774025830891446
928,imagine,1.7692142050826059
1668,son,1.7669354844014578
1147,mental,1.7566181101291836
964,interesting,1.7541881577150877
48,accessible,1.7522917841145218
58,adapt,1.7509723566746895
396,communication,1.743947420766013
981,isolated,1.7381485281144642
365,clothes,1.7278626437673963
945,independence,1.7182181544652317
8,20,1.7167995602384336
735,foot,1.7154866639009265
1873,true,1.7134754534313021
813,gp,1.705852235132911
1171,missing,1.701522367446437
1747,suddenly,1.686963380359258
535,die,1.68465671796746
1216,news,1.6806106908294212
1852,touch,1.6800024947666712
2005,wow,1.6789351916865667
1465,read,1.669956098851688
1568,scare,1.6696273803633925
674,eye,1.6686740356739074
1135,meal,1.6654553626777893
23,50,1.658499651500747
1075,lived,1.6572486024600521
891,hold,1.6548757669546519
2004,wouldn,1.6529392659122633
1331,personal,1.6480853863950855
1714,step,1.6474530963257
1559,sat,1.6470065994582248
1630,sister,1.639403925883031
865,head,1.638314958989115
161,bank,1.638306009476351
1255,open,1.6338229648894773
1229,notice,1.6275587708570205
818,grandchild,1.6264115246235322
1185,mother,1.6257244576724843
823,grateful,1.6218971794186432
1779,system,1.6218386505498052
1839,tin,1.6203849189888442
1387,post,1.6107658067435544
603,easily,1.6104943147199167
1566,scammer,1.6066901748318632
1077,ll,1.60659622866904
546,disability,1.6045419799174234
87,air,1.6010462090224342
873,heating,1.6008814787431809
1798,team,1.595260157431173
1141,medium,1.593902037713427
799,giving,1.5938186295600232
1018,knowing,1.593267584120135
700,feeling,1.5920798633944022
1508,resident,1.5920354550156282
223,book,1.5894276420259223
1993,worked,1.5866377015964754
1766,surgery,1.5794625097413197
796,girl,1.578037368911663
279,called,1.5713925563532434
2001,worse,1.56924648678445
1057,licence,1.5688196863484765
355,class,1.5669495973785463
706,film,1.5665979886463943
1760,support,1.5658884315426307
1500,rent,1.5658400942672375
1423,public,1.5653239124866358
1960,whatsapp,1.5605172681929376
673,extra,1.550741788712553
1883,tying,1.5440124673358215
664,expensive,1.5426739078978966
1294,paper,1.5374333496529426
1088,longer,1.537426552522493
1728,strange,1.5334578382421777
887,hit,1.5295710626018124
1854,town,1.5278968428310171
1612,show,1.5248269383776987
1491,remember,1.5192530257193826
135,attitude,1.517395431934815
1677,speak,1.5134081161532393
146,awful,1.5037782212426762
746,fortunate,1.5026958224283324
1577,screen,1.4979530662208786
1727,straight,1.4938895089190127
1878,turn,1.4929173093808739
1543,rude,1.4913127052178496
1718,stick,1.4891535692054974
1206,necessarily,1.4879944596519437
604,easy,1.4863316140817409
1780,table,1.484917923814197
292,carer,1.482680111996334
1065,line,1.4814442835456465
1394,prescription,1.481038897686604
1180,month,1.463643679384216
270,busy,1.4620179271790095
416,connection,1.4565454381644436
1999,worried,1.4551276695703337
1346,pick,1.4463500861345655
85,aid,1.4440672003274082
1781,tablet,1.4431680896384533
1578,sea,1.4399975996118983
1806,telly,1.4306497727044647
1729,stranger,1.4305642155059992
141,automatic,1.4272917138213894
1490,rely,1.4244262351291699
358,cleaning,1.4167830916683006
98,amount,1.4153994386858988
629,encourage,1.410641846867055
847,handrail,1.406787882795959
1197,music,1.4021630455150982
21,40,1.3969655523939604
1737,struggling,1.3835444933569887
1145,memory,1.3823648919689389
1358,plastic,1.3819211301182714
681,fact,1.3809694487413382
663,expect,1.38083653621438
1684,spent,1.373553055801488
619,eldest,1.369276904960902
850,happen,1.3626281266563396
1936,wall,1.3611171580244135
860,hate,1.3590024715218552
1614,shower,1.3533877708354396
389,comment,1.3411866558743324
642,entitled,1.340425102154672
1874,trust,1.3393835723850682
82,agree,1.3356059260445587
1704,started,1.3348073164343717
1913,ve,1.3327599833946642
1003,keeping,1.3310677002238942
1872,trouble,1.3263893619565699
1189,mould,1.32148357347761
1093,losing,1.3168991165529238
1400,pretty,1.3128234331942223
921,idea,1.3092278789262757
1550,sad,1.3056962588868568
856,harder,1.2975300987160736
906,hospital,1.2965511801890852
1012,kitchen,1.2935735253251177
578,dressed,1.293103679632529
1588,sensitive,1.2926700631810137
661,existing,1.2926700631810137
969,introduced,1.2890732863845322
212,block,1.2865203398250942
1706,state,1.2857787325668268
1121,managed,1.2842669837734082
1117,making,1.28416987123379
248,brilliant,1.2727858288497766
1193,moving,1.2699103238177476
1470,realised,1.2697912792848807
741,forgot,1.2681905943567424
679,facilitator,1.2668018501838367
237,boy,1.2626356326372703
761,fresh,1.2587747508162122
1315,pch,1.2545049336141196
1795,tea,1.24531179720125
1649,small,1.244207196112343
150,background,1.2405914760106316
1027,landlord,1.239144260617357
620,electric,1.2386239709267985
287,card,1.2378253951568474
1564,scam,1.2334309601974018
1694,staff,1.227956919006373
1208,needed,1.2275046398732883
321,chance,1.2150187955907799
160,banister,1.2136961466407836
201,bingo,1.2127888104118216
241,break,1.21021278766378
647,equipment,1.2090360156884552
427,conversation,1.2087575922470104
917,hundred,1.2082667588407712
381,colour,1.1989481540195903
230,bos,1.1949737667985059
1320,pension,1.193144864520875
29,70,1.189075825308438
915,human,1.183906429828917
110,anymore,1.1802836640834697
446,cover,1.178683138670354
60,adapted,1.1783458947256
2008,write,1.173405187289551
1339,photo,1.1721097531866587
1289,pandemic,1.1700781964335984
1573,school,1.1694399178513155
121,asked,1.1669666734620274
1468,real,1.1648191899567135
613,effort,1.1607331166060486
1083,locked,1.158006017657584
1307,patience,1.1503763473366233
2003,worth,1.1496862445095064
1194,mugged,1.1496146026970209
510,depends,1.1430960490499125
1298,part,1.1416158846542708
1884,type,1.1414513332393295
1678,speaking,1.1411039440746344
1882,twenty,1.1392459089028228
102,annoyed,1.1390926001798198
44,accept,1.1380747552578505
768,frustrated,1.1369664573195262
50,accident,1.1352729433929583
39,ability,1.129734045513642
509,depending,1.1267304071280793
684,fair,1.1215859357785611
447,covid,1.1210350100074609
423,content,1.117983471342011
1069,list,1.1149429744685497
1788,talked,1.1149232085267586
1894,unhappy,1.1105597098803361
1625,simple,1.1099084203548333
1284,paid,1.0998993355441447
1096,loud,1.0971022756403341
1764,supposed,1.0957586743821943
1467,ready,1.0938444341311824
1599,shared,1.0934468370822419
172,basket,1.090686476208138
228,born,1.0883603850571442
284,capability,1.0882349175686148
719,fit,1.082689316856194
366,club,1.0795701648235445
1099,loved,1.0788014910819448
234,bottom,1.0776282653510993
1149,mention,1.0751261723139236
433,corner,1.0715980171425095
1157,middle,1.0683788287954157
472,daily,1.0619774905656096
244,breathe,1.0571627567892756
1225,noise,1.0532990405690776
1456,rang,1.0522125367800412
1152,menu,1.0517529035325721
445,courtyard,1.0452714301616672
253,brought,1.0416848037378512
1148,mentally,1.0363066180000486
1862,travel,1.0354389178159398
162,banking,1.0344078272811974
782,gardener,1.0275087065570156
1391,prefer,1.0270443947109515
217,blue,1.0248596499851925
334,checking,1.0157639196737676
895,holiday,1.014119290518386
1430,punishment,1.0127925594282265
1904,upset,1.0078373459051115
502,deliver,1.003627602282604
10,2010,1.0
1603,shaving,1.0
471,cycling,1.0
591,drug,1.0
756,frankly,1.0
1233,november,1.0
1239,obstacle,1.0
605,easygoing,1.0
1891,understatement,1.0
210,blimey,1.0
1373,polytechnic,1.0
936,improvement,1.0
1792,tapioca,1.0
186,beholden,1.0
807,gogglebox,1.0
28,65,1.0
1850,topic,1.0
1350,pigeonholed,1.0
1403,pride,1.0
1767,surprise,1.0
759,freezer,1.0
988,jar,1.0
1167,miserable,1.0
513,depressing,1.0
905,horrified,1.0
532,diagnosed,1.0
514,depression,1.0
1325,perception,0.9975045839785759
84,ahead,0.9911882184019922
157,ballet,0.9908515767736767
478,dangerous,0.9876931448897655
1537,routine,0.9852335172578448
1230,noticed,0.9816678566351382
686,falling,0.9809518748144798
1805,telling,0.9808916296046503
32,80,0.9782019396408561
675,eyesight,0.9753830440599521
477,danger,0.9750601079401301
1961,wheel,0.9732745880923821
884,hill,0.965976006854495
1985,wonderful,0.9598789031080428
1445,quiz,0.9592903614459598
105,answer,0.9548156814896729
273,bye,0.9468528117734489
199,bill,0.9460939698680189
863,hazard,0.9452186242041042
788,general,0.94025316333829
1432,push,0.9384010557471765
47,accessibility,0.9380750346260154
301,cash,0.931523352232775
503,delivered,0.9310300493248311
1120,manage,0.9274055692212932
1725,stopping,0.9273009316576712
1925,voice,0.9249929826912757
361,climate,0.9236649319606518
1245,offended,0.9230542428651594
206,black,0.9215143376144916
1433,putting,0.9215082210054357
214,blood,0.9165879188601178
789,generally,0.9162218068117471
1466,reading,0.9144288557930045
1434,puzzle,0.9143714598178349
455,crime,0.9113231650206145
1824,thermal,0.9076030248738058
272,buying,0.9056881031065853
1052,lesson,0.9054069985621092
13,25,0.9047744560559133
1598,share,0.9027681023534453
55,active,0.8979050615707586
1923,visual,0.8976849577465948
1940,warm,0.897405943792883
680,facility,0.8930381239678478
336,chemist,0.8907836148001542
672,external,0.8890515946976421
1357,plant,0.8872172729418113
1690,spot,0.8868927583645764
508,dependent,0.8840698120970074
1049,legally,0.8832259044678042
1156,microwave,0.8831305749755111
871,heart,0.8809219518872353
403,compromise,0.8804148670267933
781,garden,0.8784764294397732
171,basically,0.8783477724954609
911,housing,0.8729742684965941
65,adjust,0.8728626311302032
1085,london,0.872639451360934
1285,pain,0.8706779556053625
330,cheap,0.8697331387968811
298,carry,0.8688212228640526
480,dark,0.8677001007585586
1482,red,0.8677001007585586
954,inside,0.8675450045951559
669,explaining,0.8666577544540193
1136,meant,0.8638970853738599
972,invisible,0.8626839796507423
1301,party,0.8619897948128543
585,driver,0.8600550226558685
567,donate,0.859652745026816
1648,slowly,0.8584591591689006
456,critic,0.858394446738927
1256,opener,0.858394446738927
145,awesome,0.858394446738927
392,communal,0.8583639640072431
409,concern,0.8578367987117808
1329,period,0.8543446427452339
576,draw,0.8537395872320859
1984,wondered,0.8521795539945911
328,chat,0.8515446788278245
1613,showed,0.8464611129987463
1367,plympton,0.8457606800116438
1758,supermarket,0.8447490346797113
1510,resource,0.8415472453132744
1641,slide,0.8391358938744755
822,granted,0.8368865124635828
1276,overthink,0.8346140596581505
1483,refuse,0.8330916938071432
1399,pretend,0.8330519525636542
683,factory,0.8302372642157879
262,bulb,0.8276459432595629
742,forgotten,0.8271037420891505
1837,timer,0.8260050400960472
695,fear,0.8259629802363584
826,green,0.8216792507989136
1261,option,0.818435216273754
51,accommodation,0.818435216273754
848,hang,0.818412387936172
757,free,0.8134978200659865
1113,main,0.8121153686455858
1132,massive,0.81145806082489
268,burst,0.8112621425173152
772,fun,0.810619752015494
1604,shelf,0.8061839932030817
1266,ordinary,0.8040661973135912
1519,rid,0.8040661973135912
557,divorce,0.8013899801951665
203,birthday,0.799785108487986
1299,participation,0.799785108487986
280,canada,0.7995215085312088
83,agreed,0.7987216099467822
1347,picking,0.7983908433195173
1527,risk,0.7967377040614514
1450,rail,0.7958393755720141
489,deal,0.7953753471965017
1064,limited,0.7951371742469436
1957,weird,0.7930207390431623
883,high,0.7928012494048414
1943,washington,0.7913437576607175
345,christine,0.790054728211066
79,agency,0.7867231280109456
339,china,0.7814537763740907
939,included,0.7812227590226519
460,crossword,0.7809791225751126
436,cost,0.7806135561597631
526,deteriorated,0.7800111836549949
63,add,0.779918671934575
402,completely,0.7785805268768262
729,fluid,0.7782019567231546
1776,switched,0.777782982424476
1606,shoe,0.7758544550423796
980,isolate,0.7750202880838366
904,horrible,0.7738924001812848
1930,waiting,0.7705139529721307
588,drop,0.7693204291312168
129,assumption,0.7689140624994011
1090,loop,0.7663486414912053
1563,scaffolding,0.7660054778230663
841,hair,0.7657169563482954
991,jill,0.7630466076946554
275,ca,0.7630466076946554
1570,scary,0.7609993332767407
1499,renewed,0.7609730022863731
1947,water,0.7592754624934549
1128,marlborough,0.7587505567432359
281,cancer,0.7577839790430679
1514,rest,0.7566149125646666
1969,wife,0.7562751684782406
428,cook,0.7558555056027968
1410,product,0.7548354983289343
1369,pocket,0.7547785032909581
1686,spinning,0.7537382910013313
1892,understood,0.753532524636568
1198,nap,0.753532524636568
1011,kit,0.753532524636568
120,arthritis,0.753532524636568
1733,strip,0.7524019963032521
